scenario,budget,budget_label,roadside_built,total_cost,objective_value,te_score,habitat_score,rancher_score,hunter_score,recreationist_score,mean_fire_risk_reduction,overall_score
T&E emphasis,40000000,$40M,False,39773041.4334584,14.375406882342443,17.144473206456624,17.18028145900903,4.333333333333333,6.0,11.33333333333333,0.010778118732205794,55.99142133213232
T&E emphasis,60000000,$60M,False,59083328.65396619,16.840513606552516,19.566058674857317,21.566058674857317,3.833333333333333,5.111111111111111,14.666666666666663,0.012628159969194546,64.74322846082573
Habitat emphasis,5000000,$5M,True,4959691.812724,3.438813962896454,3.2375817022302305,3.3432738151951247,10.0,13.33333333333333,0.6666666666666666,0.005137535708540635,30.580855517425352
Habitat emphasis,10000000,$10M,True,9976335.962165,5.83639029485479,6.209829894955927,6.315522007920821,8.666666666666666,12.333333333333332,3.222222222222222,0.00861872613600109,36.74757412509897
Habitat emphasis,20000000,$20M,False,19990023.054961998,9.519529245721968,10.491878235921225,11.39451525682213,4.666666666666666,9.555555555555557,6.555555555555556,0.011025848595713065,42.66417127052114
Habitat emphasis,40000000,$40M,False,39884507.122633606,14.941873338646682,16.317480562197247,18.317480562197247,3.833333333333333,5.888888888888888,12.444444444444441,0.01191449207778693,56.80162779106116
Habitat emphasis,60000000,$60M,False,59083328.65396619,17.640513606552517,19.566058674857317,21.566058674857317,3.833333333333333,5.111111111111111,14.666666666666663,0.012628159969194546,64.74322846082573
Community priority,5000000,$5M,True,4979879.271915968,7.334299131146669,2.2508718214731296,2.356563934438024,10.916666666666666,14.388888888888886,1.4444444444444444,0.005139259360897,31.357435755911148
Community priority,10000000,$10M,False,9969937.797478873,9.48560658380884,3.1979065705457743,3.233714823098179,13.083333333333332,15.444444444444445,5.555555555555556,0.0051033675194392045,40.51495472697729
Community priority,20000000,$20M,False,19997429.387486618,12.53825124759168,4.343812291976969,4.516477961717576,16.083333333333332,16.333333333333336,12.111111111111107,0.01066130322682886,53.38806803147232
Community priority,40000000,$40M,False,39648356.00150992,13.356535414197507,7.627581695726776,7.764439112914979,15.166666666666668,14.555555555555559,15.33333333333333,0.012106814914814091,60.44757636419731
Community priority,60000000,$60M,False,43245168.15450396,13.357183278509135,8.437487683951577,8.57434510113978,14.833333333333334,14.27777777777778,15.33333333333333,0.012431484547645909,61.4562772295358
Rancher-conservation,5000000,$5M,True,4986330.577044,5.932209402324966,2.719906081500824,2.825598194465718,11.25,14.333333333333332,0.4444444444444444,0.005446367734600636,31.573282053744318
Rancher-conservation,10000000,$10M,True,9979111.851352,7.893495943815587,4.538312497815397,4.644004610780291,13.625,15.388888888888891,2.333333333333334,0.008687831623132818,40.52953933081792
Rancher-conservation,20000000,$20M,False,19979404.964611,10.501732886401273,8.2518847200222,8.530046825582897,14.791666666666666,15.611111111111114,6.111111111111112,0.010713697129462954,53.29582043449399
Rancher-conservation,40000000,$40M,False,39263708.7501816,12.232573277692156,13.071898835937295,14.35006094149799,11.708333333333332,12.611111111111112,11.111111111111109,0.012534063222752728,62.85251533299084
Rancher-conservation,60000000,$60M,False,59262167.000045195,12.918017714714738,18.646954376649127,19.925116482209823,6.166666666666666,7.333333333333332,14.22222222222222,0.012705194486454206,66.29429308108116
Hunter-recreationist,5000000,$5M,True,4979879.271915968,6.834076908924451,2.2508718214731296,2.356563934438024,10.916666666666666,14.388888888888886,1.4444444444444444,0.005139259360897,31.357435755911148
Hunter-recreationist,10000000,$10M,True,9979558.578213843,9.183549085942904,2.331566039898738,2.437258152863633,12.083333333333332,15.277777777777775,6.777777777777777,0.007243416537515637,38.90771308165126
Hunter-recreationist,20000000,$20M,False,19932649.584466614,12.446043798656191,2.843886158410632,3.0165518281512393,15.0,16.944444444444443,13.222222222222221,0.008408070432764772,51.027104653228534
Hunter-recreationist,40000000,$40M,False,39481186.79846938,13.349063067204714,8.510219960762775,8.647077377950978,14.666666666666668,14.388888888888891,15.22222222222222,0.012201625788266933,61.43507511649153
Hunter-recreationist,60000000,$60M,False,44317366.97160901,13.388215504681678,9.339315481480924,9.476172898669127,14.333333333333334,14.111111111111114,15.22222222222222,0.012495432222894204,62.48215504681672
