scenario,budget,paddock,elevation,te_count,native_cover_pct,alternative,alternative_name,roadside_built,fixed,cost,te_score,habitat_score,rancher_score,hunter_score,recreationist_score,fire_risk_reduction
Balanced,40000000,4,Makai,8.0,0.902437,7,7: full restoration,False,False,1772838.577836,1.0,1.0,0.3333333333333333,0.4444444444444444,1.0,0.01137804382805
Balanced,40000000,5,Makai,58.0,1.647397,7,7: full restoration,False,False,4592564.839284,1.0,1.0,0.3333333333333333,0.4444444444444444,1.0,0.015659909322425003
Balanced,40000000,6,Makai,6.0,0.397277,1,1: fence + fuelbreaks,False,False,958827.220319,0.36846565233871487,0.36846565233871487,0.625,0.7222222222222222,0.3333333333333333,0.0173046738696
Balanced,40000000,7,Makai,28.0,0.376842,1,1: fence + fuelbreaks,False,False,915650.3311399999,0.3797749777830306,0.3797749777830306,0.625,0.7222222222222222,0.3333333333333333,0.0185767869042
Balanced,40000000,8,Makai,216.0,0.151658,7,7: full restoration,False,False,3324988.721202,1.0,1.0,0.3333333333333333,0.4444444444444444,1.0,0.020537726758850003
Balanced,40000000,9,Makai,580.0,1.849683,7,7: full restoration,False,True,3896204.243028,1.0,1.0,-4.0,-4.0,9.0,0.012398781209800001
Balanced,40000000,10,Makai,2.0,0.359382,7,7: full restoration,False,False,3540459.4501688,1.0,1.0,0.3333333333333333,0.4444444444444444,1.0,0.00957359523835
Balanced,40000000,11,Middle,4.0,0.023327,1,1: fence + fuelbreaks,False,False,729595.175927,0.28489361697921084,0.28489361697921084,0.75,0.7777777777777778,0.1111111111111111,0.0042305215768875
Balanced,40000000,12,Middle,5.0,1.376907,1,1: fence + fuelbreaks,False,False,823798.698198,0.27524307118542085,0.27524307118542085,0.75,0.7777777777777778,0.1111111111111111,0.00752927912495
Balanced,40000000,13,Middle,1.0,0.053414,1,1: fence + fuelbreaks,False,False,754935.6952199999,0.2960697566338976,0.2960697566338976,0.75,0.7777777777777778,0.1111111111111111,0.0106438269952
Balanced,40000000,14,Middle,2.0,1.979633,1,1: fence + fuelbreaks,False,False,675791.9152199998,0.27995627285861896,0.27995627285861896,0.75,0.7777777777777778,0.1111111111111111,0.0090351923703
Balanced,40000000,15,Middle,0.0,2.936385,1,1: fence + fuelbreaks,False,False,543938.37774,0.0,0.27816210556069454,0.75,0.7777777777777778,0.1111111111111111,0.00808388205735
Balanced,40000000,16,Mauka,2.0,0.228544,7,7: full restoration,False,False,2053707.6928078,1.0,1.0,0.0,0.0,0.6666666666666666,0.0031737553436150005
Balanced,40000000,17,Mauka,13.0,0.808116,7,7: full restoration,False,False,1853228.690414,1.0,1.0,0.0,0.0,0.6666666666666666,0.005095936366750001
Balanced,40000000,18,Mauka,21.0,4.076177,7,7: full restoration,False,False,2059505.089578,1.0,1.0,0.0,0.0,0.6666666666666666,0.006428542750987502
Balanced,40000000,19,Mauka,28.0,8.64908,7,7: full restoration,False,False,1949178.013702,1.0,1.0,0.0,0.0,0.6666666666666666,0.0082413344888
Balanced,40000000,20,Mauka,5.0,0.176797,7,7: full restoration,False,False,925810.5096959999,1.0,1.0,0.0,0.0,0.6666666666666666,0.009156074086499998
